region,year,wgs84,rd
arbeidsmarktregio,2014,https://cartomap.github.io/nl/wgs84/arbeidsmarktregio_2014.geojson,https://cartomap.github.io/nl/rd/arbeidsmarktregio_2014.geojson
arbeidsmarktregio,2015,https://cartomap.github.io/nl/wgs84/arbeidsmarktregio_2015.geojson,https://cartomap.github.io/nl/rd/arbeidsmarktregio_2015.geojson
arbeidsmarktregio,2016,https://cartomap.github.io/nl/wgs84/arbeidsmarktregio_2016.geojson,https://cartomap.github.io/nl/rd/arbeidsmarktregio_2016.geojson
arbeidsmarktregio,2017,https://cartomap.github.io/nl/wgs84/arbeidsmarktregio_2017.geojson,https://cartomap.github.io/nl/rd/arbeidsmarktregio_2017.geojson
arbeidsmarktregio,2018,https://cartomap.github.io/nl/wgs84/arbeidsmarktregio_2018.geojson,https://cartomap.github.io/nl/rd/arbeidsmarktregio_2018.geojson
arbeidsmarktregio,2019,https://cartomap.github.io/nl/wgs84/arbeidsmarktregio_2019.geojson,https://cartomap.github.io/nl/rd/arbeidsmarktregio_2019.geojson
arbeidsmarktregio,2020,https://cartomap.github.io/nl/wgs84/arbeidsmarktregio_2020.geojson,https://cartomap.github.io/nl/rd/arbeidsmarktregio_2020.geojson
arbeidsmarktregio,2021,https://cartomap.github.io/nl/wgs84/arbeidsmarktregio_2021.geojson,https://cartomap.github.io/nl/rd/arbeidsmarktregio_2021.geojson
arbeidsmarktregio,2022,https://cartomap.github.io/nl/wgs84/arbeidsmarktregio_2022.geojson,https://cartomap.github.io/nl/rd/arbeidsmarktregio_2022.geojson
arbeidsmarktregio,2023,https://cartomap.github.io/nl/wgs84/arbeidsmarktregio_2023.geojson,https://cartomap.github.io/nl/rd/arbeidsmarktregio_2023.geojson
arrondissementsgebied,1995,https://cartomap.github.io/nl/wgs84/arrondissementsgebied_1995.geojson,https://cartomap.github.io/nl/rd/arrondissementsgebied_1995.geojson
arrondissementsgebied,1996,https://cartomap.github.io/nl/wgs84/arrondissementsgebied_1996.geojson,https://cartomap.github.io/nl/rd/arrondissementsgebied_1996.geojson
arrondissementsgebied,1997,https://cartomap.github.io/nl/wgs84/arrondissementsgebied_1997.geojson,https://cartomap.github.io/nl/rd/arrondissementsgebied_1997.geojson
arrondissementsgebied,1998,https://cartomap.github.io/nl/wgs84/arrondissementsgebied_1998.geojson,https://cartomap.github.io/nl/rd/arrondissementsgebied_1998.geojson
arrondissementsgebied,1999,https://cartomap.github.io/nl/wgs84/arrondissementsgebied_1999.geojson,https://cartomap.github.io/nl/rd/arrondissementsgebied_1999.geojson
arrondissementsgebied,2000,https://cartomap.github.io/nl/wgs84/arrondissementsgebied_2000.geojson,https://cartomap.github.io/nl/rd/arrondissementsgebied_2000.geojson
arrondissementsgebied,2001,https://cartomap.github.io/nl/wgs84/arrondissementsgebied_2001.geojson,https://cartomap.github.io/nl/rd/arrondissementsgebied_2001.geojson
arrondissementsgebied,2002,https://cartomap.github.io/nl/wgs84/arrondissementsgebied_2002.geojson,https://cartomap.github.io/nl/rd/arrondissementsgebied_2002.geojson
arrondissementsgebied,2003,https://cartomap.github.io/nl/wgs84/arrondissementsgebied_2003.geojson,https://cartomap.github.io/nl/rd/arrondissementsgebied_2003.geojson
arrondissementsgebied,2004,https://cartomap.github.io/nl/wgs84/arrondissementsgebied_2004.geojson,https://cartomap.github.io/nl/rd/arrondissementsgebied_2004.geojson
arrondissementsgebied,2005,https://cartomap.github.io/nl/wgs84/arrondissementsgebied_2005.geojson,https://cartomap.github.io/nl/rd/arrondissementsgebied_2005.geojson
arrondissementsgebied,2006,https://cartomap.github.io/nl/wgs84/arrondissementsgebied_2006.geojson,https://cartomap.github.io/nl/rd/arrondissementsgebied_2006.geojson
arrondissementsgebied,2007,https://cartomap.github.io/nl/wgs84/arrondissementsgebied_2007.geojson,https://cartomap.github.io/nl/rd/arrondissementsgebied_2007.geojson
